starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:03:52 2024	1712707432	0	183	183	172
Wed Apr 10 00:03:53 2024	1712707433	0	183	183	172
Wed Apr 10 00:03:53 2024	1712707433	0	183	183	172
Wed Apr 10 00:03:56 2024	1712707436	0	183	183	173
Wed Apr 10 00:04:00 2024	1712707440	0	183	183	172
Wed Apr 10 00:03:48 2024	1712707428	0	183	183	172
Wed Apr 10 00:03:54 2024	1712707434	0	183	183	172
Wed Apr 10 00:03:52 2024	1712707432	0	183	183	170
Wed Apr 10 00:03:51 2024	1712707431	0	183	183	171
Wed Apr 10 00:03:50 2024	1712707430	0	183	183	171
Wed Apr 10 00:03:48 2024	1712707428	0	183	183	171
Wed Apr 10 00:04:01 2024	1712707441	0	183	183	171
Wed Apr 10 00:04:01 2024	1712707441	0	183	183	172
Wed Apr 10 00:04:01 2024	1712707441	0	183	183	173
Wed Apr 10 00:03:51 2024	1712707431	0	183	183	173
Wed Apr 10 00:03:53 2024	1712707433	0	183	183	172
Wed Apr 10 00:03:51 2024	1712707431	0	183	183	173
Wed Apr 10 00:04:01 2024	1712707441	0	183	183	171
Wed Apr 10 00:03:53 2024	1712707433	0	183	183	171
Wed Apr 10 00:03:51 2024	1712707431	0	183	183	172
Wed Apr 10 00:03:51 2024	1712707431	0	183	183	172
Wed Apr 10 00:04:01 2024	1712707441	0	183	183	171
Wed Apr 10 00:03:50 2024	1712707430	0	183	183	170
Wed Apr 10 00:03:50 2024	1712707430	0	183	183	172
Wed Apr 10 00:03:58 2024	1712707438	0	183	183	171
Wed Apr 10 00:03:53 2024	1712707433	0	183	183	171
Wed Apr 10 00:03:48 2024	1712707428	0	183	183	171
Wed Apr 10 00:04:01 2024	1712707441	0	183	184	173
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	172
Wed Apr 10 00:03:51 2024	1712707431	0	184	184	172
Wed Apr 10 00:03:54 2024	1712707434	0	184	184	172
Wed Apr 10 00:03:58 2024	1712707438	0	184	184	170
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	173
Wed Apr 10 00:03:58 2024	1712707438	0	184	184	171
Wed Apr 10 00:03:48 2024	1712707428	0	184	184	173
Wed Apr 10 00:03:51 2024	1712707431	0	184	184	172
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	170
Wed Apr 10 00:03:54 2024	1712707434	0	184	184	170
Wed Apr 10 00:03:51 2024	1712707431	0	184	184	172
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	173
